Date : 2026-01-15 21:11:45
Directory : /Users/ndt/Desktop/DATN/frontend-app
Total : 466 files,  81324 codes, 535 comments, 3288 blanks, all 85147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        161 |     42,355 |        194 |      1,031 |     43,580 |
| JSON               |          6 |     19,265 |          8 |          9 |     19,282 |
| TypeScript JSX     |        288 |     19,174 |        304 |      2,167 |     21,645 |
| Groovy             |          1 |        290 |          9 |         35 |        334 |
| HTML               |          1 |         76 |          3 |         10 |         89 |
| Markdown           |          1 |         40 |          0 |         11 |         51 |
| Ignore             |          2 |         38 |          0 |          0 |         38 |
| Properties         |          1 |         35 |         16 |         10 |         61 |
| JavaScript         |          1 |         27 |          0 |          2 |         29 |
| Docker             |          1 |         11 |          1 |         11 |         23 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          2 |          6 |          0 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        466 |     81,324 |        535 |      3,288 |     85,147 |
| . (Files)                                                                                                                            |         16 |     19,815 |         38 |         91 |     19,944 |
| public                                                                                                                               |          2 |          6 |          0 |          1 |          7 |
| src                                                                                                                                  |        448 |     61,503 |        497 |      3,196 |     65,196 |
| src (Files)                                                                                                                          |          4 |         83 |         28 |         19 |        130 |
| src/assets                                                                                                                           |         12 |        409 |          2 |         48 |        459 |
| src/assets (Files)                                                                                                                   |          4 |        262 |          2 |         25 |        289 |
| src/assets/protocols                                                                                                                 |          8 |        147 |          0 |         23 |        170 |
| src/components                                                                                                                       |         35 |      1,313 |         40 |        170 |      1,523 |
| src/components/ButtonApproveEVM                                                                                                      |          1 |         75 |          0 |         11 |         86 |
| src/components/CrossModeSwitch                                                                                                       |          1 |         96 |          4 |          6 |        106 |
| src/components/CustomForms                                                                                                           |          1 |         27 |          0 |          9 |         36 |
| src/components/General                                                                                                               |         12 |        354 |          5 |         47 |        406 |
| src/components/General/BoxCustom                                                                                                     |          1 |         15 |          0 |          2 |         17 |
| src/components/General/BoxOptionWallet                                                                                               |          1 |        103 |          1 |          6 |        110 |
| src/components/General/BoxSuspense                                                                                                   |          1 |         16 |          0 |          2 |         18 |
| src/components/General/ButtonCustom                                                                                                  |          1 |         22 |          0 |          2 |         24 |
| src/components/General/ButtonLoading                                                                                                 |          1 |         17 |          0 |          3 |         20 |
| src/components/General/CustomBox                                                                                                     |          1 |         15 |          0 |          2 |         17 |
| src/components/General/CustomSelect                                                                                                  |          1 |         19 |          0 |          2 |         21 |
| src/components/General/FormatSmallNumber                                                                                             |          1 |         29 |          0 |          8 |         37 |
| src/components/General/ToggleButtonGroupCustom                                                                                       |          1 |         69 |          4 |          7 |         80 |
| src/components/General/TooltipInfo                                                                                                   |          1 |         13 |          0 |          4 |         17 |
| src/components/General/ValueWithStatus                                                                                               |          1 |         20 |          0 |          3 |         23 |
| src/components/General/WalletConnectIcon                                                                                             |          1 |         16 |          0 |          6 |         22 |
| src/components/Modals                                                                                                                |          6 |        436 |         28 |         51 |        515 |
| src/components/Modals (Files)                                                                                                        |          1 |         22 |          0 |          3 |         25 |
| src/components/Modals/ConnectSolanaNetwork                                                                                           |          3 |        231 |         28 |         22 |        281 |
| src/components/Modals/ModalSettingAccount                                                                                            |          1 |         80 |          0 |         14 |         94 |
| src/components/Modals/ModalSettingFee                                                                                                |          1 |        103 |          0 |         12 |        115 |
| src/components/Providers                                                                                                             |          4 |         56 |          2 |         14 |         72 |
| src/components/Providers/ProviderEVM                                                                                                 |          2 |         10 |          0 |          4 |         14 |
| src/components/Providers/ProviderSolana                                                                                              |          1 |         27 |          2 |          6 |         35 |
| src/components/Providers/ThemeProvider                                                                                               |          1 |         19 |          0 |          4 |         23 |
| src/components/StatusData                                                                                                            |          6 |        146 |          1 |         18 |        165 |
| src/components/SwitchWithText                                                                                                        |          1 |         61 |          0 |          4 |         65 |
| src/components/TableLoading                                                                                                          |          1 |         24 |          0 |          5 |         29 |
| src/components/ToastNotifier                                                                                                         |          2 |         38 |          0 |          5 |         43 |
| src/constants                                                                                                                        |         23 |        778 |          3 |        109 |        890 |
| src/constants (Files)                                                                                                                |          4 |         71 |          0 |         16 |         87 |
| src/constants/contractAddress                                                                                                        |          2 |         21 |          0 |          5 |         26 |
| src/constants/contractAddress/evm                                                                                                    |          1 |          6 |          0 |          2 |          8 |
| src/constants/contractAddress/solana                                                                                                 |          1 |         15 |          0 |          3 |         18 |
| src/constants/tokens                                                                                                                 |         17 |        686 |          3 |         88 |        777 |
| src/constants/tokens (Files)                                                                                                         |          2 |         48 |          0 |          6 |         54 |
| src/constants/tokens/evm-ecosystem                                                                                                   |          7 |        238 |          0 |         36 |        274 |
| src/constants/tokens/evm-ecosystem (Files)                                                                                           |          2 |         55 |          0 |          8 |         63 |
| src/constants/tokens/evm-ecosystem/list-tokens                                                                                       |          5 |        183 |          0 |         28 |        211 |
| src/constants/tokens/evm-ecosystem/list-tokens/ethereum                                                                              |          3 |        115 |          0 |         16 |        131 |
| src/constants/tokens/evm-ecosystem/list-tokens/ethereum-testnet                                                                      |          2 |         68 |          0 |         12 |         80 |
| src/constants/tokens/solana-ecosystem                                                                                                |          8 |        400 |          3 |         46 |        449 |
| src/constants/tokens/solana-ecosystem (Files)                                                                                        |          2 |         68 |          0 |         11 |         79 |
| src/constants/tokens/solana-ecosystem/solana-devnet                                                                                  |          3 |        163 |          3 |         18 |        184 |
| src/constants/tokens/solana-ecosystem/solana-mainnet                                                                                 |          3 |        169 |          0 |         17 |        186 |
| src/contracts                                                                                                                        |         18 |     38,657 |         48 |        380 |     39,085 |
| src/contracts/evm                                                                                                                    |          3 |      1,771 |          0 |          3 |      1,774 |
| src/contracts/evm/abi                                                                                                                |          3 |      1,771 |          0 |          3 |      1,774 |
| src/contracts/solana                                                                                                                 |         15 |     36,886 |         48 |        377 |     37,311 |
| src/contracts/solana/contracts                                                                                                       |         12 |      2,032 |         47 |        369 |      2,448 |
| src/contracts/solana/contracts (Files)                                                                                               |          1 |        153 |          4 |         25 |        182 |
| src/contracts/solana/contracts/LendingContract                                                                                       |          3 |        977 |         16 |        177 |      1,170 |
| src/contracts/solana/contracts/LendingContractUniversal                                                                              |          4 |        648 |         24 |        113 |        785 |
| src/contracts/solana/contracts/LiquidatorContract                                                                                    |          2 |        110 |          2 |         23 |        135 |
| src/contracts/solana/contracts/VaultContract                                                                                         |          2 |        144 |          1 |         31 |        176 |
| src/contracts/solana/idl                                                                                                             |          3 |     34,854 |          1 |          8 |     34,863 |
| src/contracts/solana/idl/lending                                                                                                     |          1 |     30,989 |          1 |          3 |     30,993 |
| src/contracts/solana/idl/liquidator                                                                                                  |          1 |      1,683 |          0 |          3 |      1,686 |
| src/contracts/solana/idl/vault                                                                                                       |          1 |      2,182 |          0 |          2 |      2,184 |
| src/hooks                                                                                                                            |         56 |      2,367 |         57 |        439 |      2,863 |
| src/hooks (Files)                                                                                                                    |          5 |        156 |          2 |         28 |        186 |
| src/hooks/mutations                                                                                                                  |          7 |        526 |         28 |         82 |        636 |
| src/hooks/mutations (Files)                                                                                                          |          4 |        397 |         28 |         57 |        482 |
| src/hooks/mutations/vault                                                                                                            |          3 |        129 |          0 |         25 |        154 |
| src/hooks/useContract                                                                                                                |          3 |         88 |          0 |         25 |        113 |
| src/hooks/useHighcharts                                                                                                              |          4 |        200 |          3 |         13 |        216 |
